# Rime user dictionary
#@/db_name	wanxiang_pro
#@/db_type	userdb
#@/rime_version	1.14.0
#@/tick	5390
#@/user_id	arsiendle_ph
a;ka 	啊	c=9 d=1.45172 t=5390
le;aa,vu 	了	c=101 d=6.55192 t=5390
le;aa,vu nà;el wǒ;pd,pp 	了那我	c=1 d=1.76035e-06 t=5390
liàng;ol 	量	c=1 d=0.000921047 t=5390
lián;zi dài;jb 	连带	c=1 d=0.299692 t=5390
lián;zi dài;jb zhe;yo 	连带着	c=1 d=0.250324 t=5390
liú;di liàng;ol 	流量	c=2 d=0.99005 t=5390
liú;td,tl,lt le;aa,vu gè;ra,pa 	留了个	c=1 d=0.00316691 t=5390
liǎn;oa,oq máng;ow 	脸盲	c=1 d=0.402524 t=5390
liǎng;ad biàn;zb 	两遍	c=1 d=0.0812682 t=5390
liǎng;ad biān;zl 	两边	c=1 d=0.00267181 t=5390
liǎng;ad gè;ra,pa 	两个	c=14 d=1.61704 t=5390
liǎng;ad tóu;dd 	两头	c=1 d=0.0253494 t=5390
liǎng;ad zhǒng;hv 	两种	c=1 d=0.101206 t=5390
liǎng;ad zhǒng;hv xí;ga guàn;xg 	两种习惯	c=1 d=0.0916298 t=5390
liǎo;aa,vu jiě;jn 	了解	c=3 d=0.00221799 t=5390
luàn;ug 	乱	c=1 d=0.0439374 t=5390
luàn;ug gǎi;wj,jw 	乱改	c=2 d=0.104142 t=5390
luàn;ug yìng;oy shè;cu,uc 	乱映射	c=1 d=0.0306538 t=5390
luó;zl jí;ie,iq 	逻辑	c=9 d=1.12277 t=5390
lái;am,wb 	来	c=18 d=1.34766 t=5390
lái;am,wb de;xc 	来得	c=1 d=0.0566989 t=5390
lái;am,wb dào;dv 	来到	c=1 d=0.0958472 t=5390
lái;am,wb shuō;yd 	来说	c=1 d=3.89951e-10 t=5390
lái;am,wb yí;aa jù;gk,kg,pk 	来一句	c=1 d=2.52316e-06 t=5390
lái;am,wb zhe;yo 	来着	c=8 d=0.81276 t=5390
lái;am,wb zì;pa,po 	来自	c=1 d=0.0948935 t=5390
lái;cl 	莱	c=1 d=0.00201931 t=5390
lán;cj píng;ub 	蓝屏	c=4 d=0.0979719 t=5390
láng;ql 	狼	c=1 d=8.63524e-10 t=5390
léi;yt 	雷	c=1 d=0.0505395 t=5390
léi;yt shēng;um 	雷声	c=0 d=0.00507928 t=5390
léi;yt ēn;xy 	雷恩	c=0 d=0.0995012 t=5390
lì;hd,dh luò;cl 	利落	c=1 d=0.0340475 t=5390
lì;rl rú;nk 	例如	c=7 d=0.631234 t=5390
lì;rl zi;aa,vh 	例子	c=2 d=0.00967547 t=5390
lì;rl zi;aa,vh zhōng;aa,ka 	例子中	c=1 d=0.000953854 t=5390
lìng;kl 	另	c=1 d=0.000450569 t=5390
lìng;kl wài;xb 	另外	c=1 d=0.0916297 t=5390
lìng;kl yì;aa zhǒng;hv xíng;pk shì;gy,yg 	另一种形式	c=1 d=1.11685e-06 t=5390
lìng;kl yí;aa gè;ra,pa 	另一个	c=1 d=0.000372602 t=5390
lín;ao,do shí;oc 	临时	c=1 d=0.201897 t=5390
lù;au,ua,vu gè;ra,pa 	录个	c=1 d=0.00192083 t=5390
lù;au,ua,vu píng;ub 	录屏	c=1 d=1.34381e-06 t=5390
lù;au,ua,vu shì;ju,uj pín;yb 	录视频	c=1 d=0.640824 t=5390
lù;ej 	陆	c=1 d=0.00660109 t=5390
lù;ej yíng;my yíng;my 	陆盈盈	c=1 d=0.0572686 t=5390
lù;zg jìng;xg 	路径	c=1 d=0.000455097 t=5390
lù;zg rén;pd 	路人	c=1 d=0.00112497 t=5390
lùn;yl 	论	c=1 d=0.0422141 t=5390
lún;il xùn;yi 	轮训	c=1 d=1.12807e-06 t=5390
lún;il xún;yx 	轮询	c=10 d=0.345132 t=5390
lā;fl de;xc 	拉得	c=0 d=0.0814647 t=5390
lā;fl de;xc yǒu;ou,uo xiē;ec 	拉得有些	c=1 d=0.818731 t=5390
lā;fl qǔ;ey,ye 	拉取	c=5 d=1.81062 t=5390
lā;fl wǒ;pd,pp 	拉我	c=0 d=0.00523397 t=5390
lā;fl wǒ;pd,pp de;bu 	拉我的	c=1 d=0.0526021 t=5390
lǎn;xl de;xc 	懒得	c=0 d=1.45573e-07 t=5390
lǎn;xl de;xc zì;pa,po jǐ;ag,vg gǎi;wj,jw 	懒得自己改	c=1 d=1.46303e-06 t=5390
lǎo;bl,lb bǎn;mf 	老板	c=1 d=0.0483156 t=5390
lǎo;bl,lb huáng;ad,cb niú;pa 	老黄牛	c=1 d=0.000257369 t=5390
lǎo;bl,lb shì;op,ov 	老是	c=2 d=0.129257 t=5390
lǎo;bl,lb shí;bt shuō;yd 	老实说	c=1 d=0.00778932 t=5390
lǎo;bl,lb shī;ab,aj,db,dj 	老师	c=1 d=0.257947 t=5390
lǎo;rl 	佬	c=1 d=0.0992613 t=5390
lǐ;aa,tt 	里	c=13 d=2.02316 t=5390
lǐ;aa,tt miàn;aa 	里面	c=2 d=0.771052 t=5390
lǐ;ug mào;ve,vm 	礼貌	c=1 d=0.00509243 t=5390
lǐ;wl jiě;jn 	理解	c=3 d=0.0143512 t=5390
lǐ;wl jiě;jn yí;aa xià;ab,ad 	理解一下	c=1 d=0.000221519 t=5390
ma;km 	吗	c=19 d=2.24896 t=5390
ma;km 	嘛	c=18 d=1.62153 t=5390
me;ps 	么	c=32 d=3.01435 t=5390
me;ps kàn;ou,uo lái;am,wb 	么看来	c=0 d=2.91637e-05 t=5390
miē;gg yě;ky 	乜嘢	c=1 d=0.0114473 t=5390
miǎn;lm miǎn;lm qiǎng;gs qiáng;gs 	勉勉强强	c=1 d=0.0352602 t=5390
mài;fw dāng;xx láo;cl,lb 	麦当劳	c=1 d=0.00499159 t=5390
mài;fw lǐ;aa,tt 	麦里	c=1 d=0.985112 t=5390
mài;um 	卖	c=1 d=0.0146986 t=5390
màn;dm huà;ak 	漫画	c=1 d=0.0953692 t=5390
má;gl fan;hy 	麻烦	c=1 d=0.744532 t=5390
máng;ow dǎ;fd 	盲打	c=1 d=0.035437 t=5390
méi;du 	没	c=28 d=1.43613 t=5390
méi;du bèi;yp 	没被	c=2 d=0.324871 t=5390
méi;du chà;yg 	没差	c=1 d=0.105928 t=5390
méi;du cuò;jx 	没错	c=1 d=0.282239 t=5390
méi;du huà;yu shuō;yd le;aa,vu 	没话说了	c=2 d=1.98506 t=5390
méi;du kàn;ou,uo 	没看	c=1 d=0.157237 t=5390
méi;du kàn;ou,uo dǒng;xd 	没看懂	c=2 d=0.524759 t=5390
méi;du le;aa,vu 	没了	c=1 d=0.585669 t=5390
méi;du lǐ;wl jiě;jn 	没理解	c=1 d=0.00740947 t=5390
méi;du shá;ku 	没啥	c=1 d=0.337902 t=5390
méi;du shá;ku chā;yg bié;dl 	没啥差别	c=1 d=0.000441647 t=5390
méi;du shá;ku yòng;kf 	没啥用	c=1 d=0.00304273 t=5390
méi;du shì;aa 	没事	c=3 d=0.217824 t=5390
méi;du tài;dd kàn;ou,uo dǒng;xd 	没太看懂	c=1 d=0.000581442 t=5390
méi;du wèn;km,mk tí;uy,yu 	没问题	c=1 d=0.00818871 t=5390
méi;du xiě;by 	没写	c=1 d=0.985112 t=5390
méi;du ya;ky 	没呀	c=1 d=0.847894 t=5390
méi;du yòng;kf guò;zc 	没用过	c=1 d=0.204948 t=5390
méi;du yǒu;ou,uo 	没有	c=15 d=1.99423 t=5390
mí;zm hu;mh 	迷糊	c=1 d=0.0678809 t=5390
mí;zm mí;zm hū;mh hū;mh de;bu 	迷迷糊糊的	c=1 d=0.138069 t=5390
míng;oo bái;pa,po 	明白	c=0 d=0.000690853 t=5390
míng;oo míng;oo 	明明	c=2 d=0.0988096 t=5390
míng;oo tiān;ad 	明天	c=1 d=0.364219 t=5390
míng;xk 	名	c=0 d=3.82034e-05 t=5390
míng;xk zì;bz 	名字	c=5 d=0.0968882 t=5390
míng;xk zì;bz le;aa,vu 	名字了	c=1 d=0.092089 t=5390
mò;ad,am 	末	c=1 d=0.970446 t=5390
mò;ad,am wěi;um 	末尾	c=4 d=0.00504506 t=5390
mò;cd,ct míng;xk qí;ba,ad,hb miào;nu 	莫名其妙	c=1 d=2.58703e-06 t=5390
mò;dm rán;hq 	漠然	c=1 d=0.00067217 t=5390
mò;hq rèn;yr 	默认	c=5 d=1.95464 t=5390
mó;gm,mg rán;hq 	魔然	c=5 d=0.0339596 t=5390
mó;gm,mg rán;hq mǎ;um 	魔然码	c=2 d=0.446648 t=5390
mó;mm bǎn;pf 	模版	c=2 d=0.0172381 t=5390
mó;mm hu;mh yīn;lo 	模糊音	c=1 d=0.000880519 t=5390
mó;mm shì;gy,yg 	模式	c=3 d=0.494268 t=5390
mó;mm xíng;tx 	模型	c=3 d=2.24519 t=5390
mù;aa,om,mu lù;au,ua,vu 	目录	c=5 d=1.919 t=5390
mù;aa,om,mu lù;au,ua,vu xià;ab,ad 	目录下	c=1 d=0.0728029 t=5390
mù;aa,om,mu qián;bd,qd 	目前	c=1 d=0.00100276 t=5390
mā;nm ma;nm 	妈妈	c=1 d=0.995012 t=5390
měi;dy,yd guān;jy,yj 	美观	c=4 d=1.19198 t=5390
měi;dy,yd hǎo;nz 	美好	c=1 d=0.228779 t=5390
měi;pm,rm cì;dq 	每次	c=13 d=3.12173 t=5390
měi;pm,rm gè;ra,pa 	每个	c=1 d=4.85909e-10 t=5390
měi;pm,rm gè;ra,pa zì;bz 	每个字	c=1 d=0.282239 t=5390
měi;pm,rm miǎo;hu 	每秒	c=1 d=0.759572 t=5390
mǎ;um 	码	c=4 d=1.85499 t=5390
mǎi;at,vt wán;by 	买完	c=1 d=0.00224287 t=5390
mǒu;gm,mg gè;ra,pa 	某个	c=1 d=1.74283e-06 t=5390
mǒu;gm,mg xiē;ec rén;pd 	某些人	c=1 d=0.0376283 t=5390
mǒu;gm,mg zhǒng;hv yì;xy,lx yì;di,id shàng;aa,ba 	某种意义上	c=1 d=0.00171216 t=5390
ne;kn 	呢	c=7 d=1.1696 t=5390
nián;ra,pa 	年	c=1 d=0.869358 t=5390
nián;ra,pa qīng;ig 	年轻	c=1 d=0.000393669 t=5390
niú;pa 	牛	c=2 d=0.00429639 t=5390
niú;pa zi;aa,vh 	牛子	c=1 d=0.0217096 t=5390
niǎo;na,pa 	鸟	c=0 d=0.099005 t=5390
niǎo;na,pa chán;di,dz chán;di,dz chuǎi;fe nǐ;re niǎo;na,pa nán;yv 	鸟潺潺揣你鸟难	c=1 d=0.995012 t=5390
nuó;fn 	挪	c=0 d=0.00875977 t=5390
nuó;fn jìn;zj qù;ts 	挪进去	c=1 d=0.0880368 t=5390
nà;el 	那	c=34 d=1.86242 t=5390
nà;el bù;ad,ax xíng;xd,xi 	那不行	c=1 d=0.744532 t=5390
nà;el bù;ek,ep fèn;bd,db 	那部分	c=1 d=0.826959 t=5390
nà;el bú;ad,ax jiù;yj 	那不就	c=1 d=0.367879 t=5390
nà;el cái;ap shì;op,ov 	那才是	c=1 d=0.0383884 t=5390
nà;el cì;dq 	那次	c=1 d=0.726149 t=5390
nà;el ge;ra,pa 	那个	c=9 d=1.19734 t=5390
nà;el ge;ra,pa me;ps 	那个么	c=1 d=0.386741 t=5390
nà;el jiù;yj 	那就	c=3 d=0.439604 t=5390
nà;el jiù;yj shì;op,ov 	那就是	c=3 d=0.625909 t=5390
nà;el kě;dk néng;sb 	那可能	c=1 d=6.20808e-10 t=5390
nà;el lǐ;aa,tt 	那里	c=1 d=0.0520788 t=5390
nà;el lǐ;aa,tt yǒu;ou,uo 	那里有	c=0 d=6.14315e-05 t=5390
nà;el lǐ;aa,tt yǒu;ou,uo wèn;km,mk tí;uy,yu 	那里有问题	c=1 d=0.000617396 t=5390
nà;el me;ps 	那么	c=3 d=1.00039 t=5390
nà;el nǐ;re 	那你	c=3 d=0.0263905 t=5390
nà;el nǐ;re zì;pa,po jǐ;ag,vg 	那你自己	c=1 d=0.000623599 t=5390
nà;el qí;ba,ad,hb shí;bt 	那其实	c=2 d=0.744532 t=5390
nà;el wǒ;pd,pp 	那我	c=5 d=0.402524 t=5390
nà;el wǒ;pd,pp bù;ad,ax qīng;dq chu;mp,pl 	那我不清楚	c=1 d=0.414783 t=5390
nà;el wǒ;pd,pp gǎn;xx jué;dj,jb 	那我感觉	c=1 d=0.33454 t=5390
nà;el wǒ;pd,pp hái;zb shì;op,ov 	那我还是	c=1 d=0.00612728 t=5390
nà;el wǒ;pd,pp jiù;yj hái;zb shì;op,ov 	那我就还是	c=1 d=0.0389686 t=5390
nà;el wǒ;pd,pp jué;dj,jb de;xc 	那我觉得	c=1 d=0.00144449 t=5390
nà;el wǒ;pd,pp shì;op,ov shuí;yv 	那我是谁	c=2 d=0.0821404 t=5390
nà;el xiē;ec 	那些	c=1 d=1.37096e-06 t=5390
nà;el yàng;my 	那样	c=1 d=0.0136366 t=5390
nà;el yì;aa háng;xd,xi 	那一行	c=2 d=1.56559 t=5390
nà;el yí;aa kuài;td,tg 	那一块	c=1 d=0.0293049 t=5390
nà;el zhè;zw 	那这	c=0 d=2.91637e-05 t=5390
nà;el zhè;zw me;ps kàn;ou,uo lái;am,wb 	那这么看来	c=1 d=0.000293099 t=5390
nà;el zhè;zw shí;oc 	那这时	c=1 d=0.00530026 t=5390
nà;el zhǒng;hv 	那种	c=1 d=1.3172e-06 t=5390
nà;el zěn;xv me;ps 	那怎么	c=1 d=0.0340475 t=5390
nà;kn 	呐	c=2 d=0.0713613 t=5390
ná;uh 	拿	c=2 d=0.631315 t=5390
ná;uh dào;dv 	拿到	c=1 d=0.142987 t=5390
ná;uh lái;am,wb 	拿来	c=1 d=0.0315873 t=5390
ná;uh lái;am,wb ba;kb 	拿来吧	c=1 d=0.71177 t=5390
nán;tl hái;zh 	男孩	c=1 d=0.00100779 t=5390
nán;yv 	难	c=0 d=0.099005 t=5390
nán;yv dào;zu 	难道	c=1 d=0.000471309 t=5390
nán;yv dǎ;fd 	难打	c=1 d=0.00290884 t=5390
nèi;ad,kr biān;zl jù;zj 	内边距	c=2 d=0.185288 t=5390
nèi;ad,kr róng;bg 	内容	c=6 d=0.576718 t=5390
néng;sb 	能	c=12 d=1.25922 t=5390
néng;sb bù;ad,ax néng;sb 	能不能	c=1 d=0.822835 t=5390
néng;sb bǎ;fb 	能把	c=2 d=0.0423027 t=5390
néng;sb fǒu;kb 	能否	c=11 d=1.55833 t=5390
néng;sb pǎo;zb 	能跑	c=1 d=0.0182243 t=5390
néng;sb yòng;kf 	能用	c=1 d=0.000841775 t=5390
nì;zn xiàng;pk 	逆向	c=1 d=0.17552 t=5390
nòng;cw,wc gè;ra,pa 	弄个	c=1 d=0.927743 t=5390
nǎ;kn 	哪	c=2 d=1.48983 t=5390
nǎ;kn ge;ra,pa 	哪个	c=3 d=0.514909 t=5390
nǎ;kn ge;ra,pa shì;op,ov 	哪个是	c=0 d=3.12784e-05 t=5390
nǎ;kn ge;ra,pa shì;op,ov a;ka 	哪个是啊	c=1 d=0.000314351 t=5390
nǎ;kn lǐ;aa,tt 	哪里	c=7 d=0.453281 t=5390
nǎ;kn lǐ;aa,tt qù;ts le;aa,vu 	哪里去了	c=1 d=1.51514e-06 t=5390
nǎ;kn nián;ra,pa 	哪年	c=1 d=8.0918e-10 t=5390
nǎ;kn pà;xb 	哪怕	c=1 d=0.436049 t=5390
nǎi;nn chá;cm 	奶茶	c=1 d=0.0160027 t=5390
nǐ;re 	你	c=27 d=1.75377 t=5390
nǐ;re bú;ad,ax shì;op,ov 	你不是	c=1 d=0.923116 t=5390
nǐ;re bāng;jb wǒ;pd,pp 	你帮我	c=1 d=0.995012 t=5390
nǐ;re de;bu 	你的	c=1 d=0.18452 t=5390
nǐ;re de;bu huà;yu 	你的话	c=1 d=0.0347353 t=5390
nǐ;re gěi;sh 	你给	c=1 d=0.0157644 t=5390
nǐ;re huì;ry cuò;jx yì;xy,lx le;aa,vu 	你会错意了	c=1 d=0.0167392 t=5390
nǐ;re hái;zb 	你还	c=1 d=0.0220377 t=5390
nǐ;re hǎo;nz 	你好	c=6 d=0.341298 t=5390
nǐ;re hǎo;nz ya;ky 	你好呀	c=1 d=9.66099e-07 t=5390
nǐ;re jué;dj,jb de;xc ne;kn 	你觉得呢	c=3 d=2.35561 t=5390
nǐ;re kàn;ou,uo kàn;ou,uo 	你看看	c=1 d=0.826959 t=5390
nǐ;re men;rm 	你们	c=1 d=0.00193046 t=5390
nǐ;re néng;sb fǒu;kb 	你能否	c=1 d=0.460704 t=5390
nǐ;re pāi;fb le;aa,vu 	你拍了	c=0 d=0.0367879 t=5390
nǐ;re pāi;fb le;aa,vu ma;km 	你拍了吗	c=1 d=0.369723 t=5390
nǐ;re pāi;fb le;aa,vu méi;du 	你拍了没	c=-1 d=0 t=5390
nǐ;re qù;ts 	你去	c=1 d=0.00166156 t=5390
nǐ;re shuō;yd ne;kn 	你说呢	c=5 d=0.0369794 t=5390
nǐ;re shuō;yd shén;ru me;ps 	你说什么	c=1 d=1 t=5390
nǐ;re shuō;yd shén;ru me;ps ne;kn 	你说什么呢	c=1 d=1 t=5390
nǐ;re shén;ru me;ps 	你什么	c=1 d=0.0520787 t=5390
nǐ;re shén;ru me;ps shí;oc hòu;ru 	你什么时候	c=1 d=0.186374 t=5390
nǐ;re shì;bv yǒu;yu,uy 	你室友	c=1 d=0.00637737 t=5390
nǐ;re shì;op,ov 	你是	c=3 d=0.0941652 t=5390
nǐ;re shì;op,ov wǒ;pd,pp 	你是我	c=1 d=0.217621 t=5390
nǐ;re xiàn;wj zài;ta,ut 	你现在	c=1 d=0.0561346 t=5390
nǐ;re yì;aa shuō;yd 	你一说	c=1 d=0.373439 t=5390
nǐ;re yě;gg shì;op,ov 	你也是	c=1 d=0.0218184 t=5390
nǐ;re yǐ;rd,ry wéi;dd 	你以为	c=1 d=0.0155297 t=5390
nǐ;re zhè;zw zhǒng;hv 	你这种	c=1 d=0.121238 t=5390
nǐ;re zhī;uk,ku dào;zu zì;pa,po jǐ;ag,vg 	你知道自己	c=1 d=9.90555e-07 t=5390
nǐ;re zhǎo;fg 	你找	c=1 d=0.810584 t=5390
nǐ;re zì;pa,po jǐ;ag,vg 	你自己	c=1 d=0.0987662 t=5390
nǚ;aa,vh hái;zh 	女孩	c=1 d=0.00101284 t=5390
piào;dp liang;wj,jb 	漂亮	c=1 d=0.0145524 t=5390
pián;rg yi;bq 	便宜	c=1 d=0.00559994 t=5390
piān;rb páng;wf,lf 	偏旁	c=1 d=0.946485 t=5390
piān;rb yí;hd 	偏移	c=2 d=0.504148 t=5390
pà;xb 	怕	c=1 d=0.343009 t=5390
pào;db miàn;aa 	泡面	c=1 d=0.00225411 t=5390
pái;ff bǎn;pf 	排版	c=9 d=1.12919 t=5390
pái;ff xù;gy 	排序	c=1 d=0.0120342 t=5390
pèi;yj zhì;sv 	配置	c=9 d=2.13456 t=5390
pèi;yj zhì;sv me;ps 	配置么	c=1 d=0.00048324 t=5390
pèi;yj zhì;sv wén;wi,dd jiàn;rn 	配置文件	c=1 d=0.0812682 t=5390
péng;oo you;yu,uy 	朋友	c=2 d=0.177536 t=5390
pí;ad,ay,vd,vy,ya dàn;ip,pi 	皮蛋	c=2 d=0.0817307 t=5390
pí;ad,ay,vd,vy,ya fū;of 	皮肤	c=8 d=2.83997 t=5390
pí;ad,ay,vd,vy,ya fū;of le;aa,vu 	皮肤了	c=1 d=0.0837432 t=5390
pín;yb lǜ;wu 	频率	c=1 d=0.0977834 t=5390
píng;aa,gb huá;dg 	平滑	c=1 d=0.107528 t=5390
píng;aa,gb tái;sk 	平台	c=3 d=1.21742 t=5390
píng;yp lùn;yl 	评论	c=1 d=0.726149 t=5390
pēi;kp 	呸	c=1 d=0.000403635 t=5390
pīn;fb yīn;lo 	拼音	c=1 d=0.000464291 t=5390
pǎo;zb 	跑	c=1 d=0.020141 t=5390
pǐ;ke pèi;yj 	匹配	c=2 d=0.0346749 t=5390
pǔ;ob,bo huà;rb tiān;ad zūn;cq,qc 	普化天尊	c=0 d=0.00507928 t=5390
pǔ;ob,bo tōng;zy 	普通	c=1 d=0.000296045 t=5390
qián;bd,qd 	前	c=1 d=0.138069 t=5390
qián;bd,qd liǎng;ad tiān;ad 	前两天	c=1 d=0.900325 t=5390
qián;bd,qd zhě;lo,ol 	前者	c=1 d=0.255381 t=5390
qiè;dq,qd 	切	c=1 d=0.0110536 t=5390
qiāng;mc shǒu;pa,ub 	枪手	c=1 d=0.0137049 t=5390
qiē;dq,qd huàn;fh 	切换	c=3 d=0.260749 t=5390
qiē;dq,qd huàn;fh jiàn;jj 	切换键	c=1 d=0.0209629 t=5390
qiě;aa 	且	c=2 d=0.504337 t=5390
qiǎng;gs pò;zb zhèng;bv 	强迫症	c=1 d=0.108067 t=5390
quán;rw 	全	c=1 d=0.0006362 t=5390
quán;rw bù;ek,ep 	全部	c=2 d=0.118841 t=5390
quán;rw jú;uk 	全局	c=2 d=1.89583 t=5390
quán;rw píng;ub 	全屏	c=8 d=4.11625 t=5390
quán;rw pīn;fb 	全拼	c=1 d=0.000270565 t=5390
quán;rw shān;dc 	全删	c=1 d=0.170333 t=5390
quán;rw xuǎn;zx 	全选	c=1 d=1.37783e-06 t=5390
què;uj bǎo;rd 	确保	c=1 d=0.600496 t=5390
què;uj dìng;bp 	确定	c=1 d=0.0695995 t=5390
què;uj rèn;yr 	确认	c=6 d=1.22117 t=5390
què;uj shí;bt 	确实	c=6 d=0.32476 t=5390
quē;fd,fg shǎo;xp 	缺少	c=1 d=0.729789 t=5390
qì;cw,wc zōng;bu dāng;xx sàn;wo xiū;rp 	弃宗当散修	c=1 d=0.0658748 t=5390
qí;ba,ad,hb 	其	c=1 d=0.603506 t=5390
qí;ba,ad,hb cì;dq 	其次	c=1 d=0.028297 t=5390
qí;ba,ad,hb shí;bt 	其实	c=14 d=2.11171 t=5390
qí;ba,ad,hb tā;ry 	其他	c=4 d=0.634448 t=5390
qí;ba,ad,hb zhōng;aa,ka 	其中	c=4 d=0.473954 t=5390
qí;dk guài;xu 	奇怪	c=1 d=0.228779 t=5390
qíng;xq kuàng;dx 	情况	c=6 d=1.31013 t=5390
qù;ts 	去	c=15 d=1.97716 t=5390
qù;ts chóng;pa,ql 	去重	c=1 d=0.423162 t=5390
qù;ts chú;ey 	去除	c=3 d=1.38091 t=5390
qù;ts diào;fv 	去掉	c=1 d=0.882497 t=5390
qù;ts ya;ky 	去呀	c=1 d=0.0243554 t=5390
qún;yj yǒu;yu,uy 	群友	c=2 d=0.101774 t=5390
qún;yj zhǔ;dw 	群主	c=1 d=0.449329 t=5390
qī;oq,qo wàng;wo 	期望	c=1 d=0.680451 t=5390
qīng;dq chǔ;mp,pl 	清楚	c=1 d=0.0695994 t=5390
qīng;dq kōng;xg,bg 	清空	c=2 d=0.518471 t=5390
qīng;of,fo chūn;of,fo 	青春	c=1 d=0.00213348 t=5390
qū;aa,oa xiàn;sj jiù;wq guó;ky 	曲线救国	c=1 d=0.400517 t=5390
qū;ki 	区	c=1 d=0.0165727 t=5390
qū;ki bié;dl 	区别	c=7 d=0.796244 t=5390
qǐ;zj diǎn;hv 	起点	c=1 d=0.053397 t=5390
qǐ;zj shǒu;pa,ub 	起手	c=1 d=0.104874 t=5390
qǐ;zj zuò;rv yòng;kf 	起作用	c=1 d=0.0193512 t=5390
qǐng;yq 	请	c=2 d=0.579842 t=5390
qǐng;yq nǐ;re 	请你	c=4 d=0.690594 t=5390
qǐng;yq qiú;ad 	请求	c=1 d=0.066205 t=5390
qǔ;ey,ye 	取	c=2 d=0.471728 t=5390
qǔ;ey,ye xiāo;dx 	取消	c=2 d=0.0175989 t=5390
ràng;yu 	让	c=5 d=0.655476 t=5390
ràng;yu nǐ;re 	让你	c=0 d=4.41872e-11 t=5390
ràng;yu wǒ;pd,pp 	让我	c=2 d=0.0411719 t=5390
rán;hq 	然	c=2 d=0.274202 t=5390
rán;hq hòu;pk 	然后	c=7 d=0.932394 t=5390
rèn;rr hé;rk 	任何	c=1 d=0.04573 t=5390
rén;pd 	人	c=5 d=0.228633 t=5390
rén;pd jiā;bu 	人家	c=1 d=0.0343896 t=5390
rén;pd jī;mj 	人机	c=1 d=0.410656 t=5390
rén;pd míng;xk 	人名	c=3 d=0.393143 t=5390
réng;rn 	仍	c=1 d=0.0405589 t=5390
rì;aa,or,ri cháng;jk,xd,dd 	日常	c=1 d=0.0002139 t=5390
rì;aa,or,ri zhì;ux,xu 	日志	c=1 d=0.0197421 t=5390
róng;cm,mb yù;yx 	荣誉	c=1 d=0.00386807 t=5390
rú;nk 	如	c=1 d=0.0784731 t=5390
rú;nk guǒ;ad,tm 	如果	c=25 d=2.30394 t=5390
rú;nk guǒ;wy,yg 	如裹	c=1 d=0.00292342 t=5390
rú;nk hé;rk 	如何	c=10 d=5.19075 t=5390
rú;nk hé;rk zhī;uk,ku dào;zu 	如何知道	c=1 d=0.980199 t=5390
rú;nk shàng;aa,ba 	如上	c=1 d=0.0208584 t=5390
rú;nk shí;bt 	如实	c=1 d=0.0248474 t=5390
rú;nk tú;kd 	如图	c=2 d=0.107498 t=5390
rú;zx zǐ;aa,vh niú;pa 	孺子牛	c=1 d=0.000256085 t=5390
rǒng;bj yú;rb,rd,rh 	冗余	c=4 d=1.59146 t=5390
shuí;yv dōu;ev shì;op,ov 	谁都是	c=0 d=0.0402524 t=5390
shuí;yv dōu;ev shì;op,ov nǐ;re 	谁都是你	c=1 d=0.404542 t=5390
shuā;dj 	刷	c=0 d=0.000562801 t=5390
shuā;dj kè;bg 	刷客	c=1 d=0.00588705 t=5390
shuā;dj kè;yg de;bu me;ps 	刷课的么	c=1 d=0.00594622 t=5390
shuāng;yy jī;aa,eu,fk 	双击	c=2 d=0.358797 t=5390
shuāng;yy pīn;fb 	双拼	c=3 d=0.00131459 t=5390
shuō;yd 	说	c=7 d=0.904874 t=5390
shuō;yd a;ka 	说啊	c=0 d=1.89745e-07 t=5390
shuō;yd de;bu 	说的	c=3 d=0.222431 t=5390
shuō;yd míng;oo 	说明	c=2 d=0.697676 t=5390
shuō;yd shuí;yv 	说谁	c=1 d=0.418952 t=5390
shuō;yd shuō;yd 	说说	c=0 d=0.0341298 t=5390
shuō;yd shuō;yd zhè;zw ge;ra,pa 	说说这个	c=1 d=0.343009 t=5390
shuǎi;pg diào;fv 	甩掉	c=1 d=0.0523397 t=5390
shuǎng;dy 	爽	c=1 d=0.0968104 t=5390
shuǐ;ad,uv yǒu;yu,uy sài;bb 	水友赛	c=1 d=0.923116 t=5390
shàng;aa,ba 	上	c=10 d=1.85294 t=5390
shàng;aa,ba chuán;rv 	上传	c=7 d=3.02315 t=5390
shàng;aa,ba de;bu 	上的	c=1 d=3.19265e-10 t=5390
shàng;aa,ba miàn;aa 	上面	c=2 d=0.0203008 t=5390
shàng;aa,ba píng;ub 	上屏	c=12 d=1.09213 t=5390
shàng;aa,ba pǐn;kk 	上品	c=1 d=0.144479 t=5390
shàng;aa,ba xià;ab,ad 	上下	c=3 d=0.197089 t=5390
shàng;aa,ba xiàn;sj le;aa,vu 	上线了	c=1 d=0.082085 t=5390
shàng;aa,ba yí;aa cì;dq 	上一次	c=1 d=0.440432 t=5390
shào;sv sòng;bm 	绍宋	c=1 d=0.066205 t=5390
shá;ku 	啥	c=10 d=1.53829 t=5390
shá;ku yòng;kf 	啥用	c=1 d=0.00118265 t=5390
shè;db jí;nd,pd 	涉及	c=1 d=0.0175097 t=5390
shè;yu bèi;wt 	设备	c=1 d=0.00037447 t=5390
shè;yu gè;ra,pa 	设个	c=1 d=2.22668e-06 t=5390
shè;yu wéi;dd 	设为	c=1 d=0.579842 t=5390
